START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
3/29/2018,3:15 PM,4:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,3/29/2018,3/29/2018,6:15 PM,7:15 PM,FALSE,TRUE,3/29/2018,2:15 PM,3:15 PM,FREE,BUSY
3/31/2018,6:15 PM,7:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,3/31/2018,3/31/2018,9:15 PM,10:15 PM,FALSE,TRUE,3/31/2018,5:15 PM,6:15 PM,FREE,BUSY
4/1/2018,1:15 PM,2:15 PM,White Sox at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,4/1/2018,4/1/2018,4:15 PM,5:15 PM,FALSE,TRUE,4/1/2018,12:15 PM,1:15 PM,FREE,BUSY
4/2/2018,12:10 PM,1:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FSKC,4/2/2018,4/2/2018,3:10 PM,4:10 PM,FALSE,TRUE,4/2/2018,11:10 AM,12:10 PM,FREE,BUSY
4/3/2018,12:10 PM,1:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FSKC,4/3/2018,4/3/2018,3:10 PM,4:10 PM,FALSE,TRUE,4/3/2018,11:10 AM,12:10 PM,FREE,BUSY
4/4/2018,12:10 PM,1:10 PM,Royals at Tigers,Comerica Park - Detroit,Local TV: FSKC,4/4/2018,4/4/2018,3:10 PM,4:10 PM,FALSE,TRUE,4/4/2018,11:10 AM,12:10 PM,FREE,BUSY
4/6/2018,3:10 PM,4:10 PM,Royals at Indians,Progressive Field - Cleveland,Local TV: FSKC,4/6/2018,4/6/2018,6:10 PM,7:10 PM,FALSE,TRUE,4/6/2018,2:10 PM,3:10 PM,FREE,BUSY
4/7/2018,3:10 PM,4:10 PM,Royals at Indians,Progressive Field - Cleveland,Local TV: FSKC,4/7/2018,4/7/2018,6:10 PM,7:10 PM,FALSE,TRUE,4/7/2018,2:10 PM,3:10 PM,FREE,BUSY
4/8/2018,12:10 PM,1:10 PM,Royals at Indians,Progressive Field - Cleveland,Local TV: FSKC,4/8/2018,4/8/2018,3:10 PM,4:10 PM,FALSE,TRUE,4/8/2018,11:10 AM,12:10 PM,FREE,BUSY
4/9/2018,7:15 PM,8:15 PM,Mariners at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,4/9/2018,4/9/2018,10:15 PM,11:15 PM,FALSE,TRUE,4/9/2018,6:15 PM,7:15 PM,FREE,BUSY
4/10/2018,7:15 PM,8:15 PM,Mariners at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,4/10/2018,4/10/2018,10:15 PM,11:15 PM,FALSE,TRUE,4/10/2018,6:15 PM,7:15 PM,FREE,BUSY
4/11/2018,1:15 PM,2:15 PM,Mariners at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC ----- Local Radio: KYYS-1250 AM,4/11/2018,4/11/2018,4:15 PM,5:15 PM,FALSE,TRUE,4/11/2018,12:15 PM,1:15 PM,FREE,BUSY
4/12/2018,7:15 PM,8:15 PM,Angels at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,4/12/2018,4/12/2018,10:15 PM,11:15 PM,FALSE,TRUE,4/12/2018,6:15 PM,7:15 PM,FREE,BUSY
4/13/2018,7:15 PM,8:15 PM,Angels at Royals,Kauffman Stadium - Kansas City,Local TV: FSKC,4/13/2018,4/13/2018,10:15 PM,11:15 PM,FALSE,TRUE,4/13/2018,6:15 PM,7:15 PM,FREE,BUSY
4/14/2018,6:15 PM,7:15 PM,Angels at Royals,Kauffman Stadium - Kansas City,,4/14/2018,4/14/2018,9:15 PM,10:15 PM,FALSE,TRUE,4/14/2018,5:15 PM,6:15 PM,FREE,BUSY
